author,text
会津八一,古い日記や手紙などを、みんな燒いてしまつたので、こまかに時日をいへないが、まだ若い中學教師であつた私が、牛込下戸塚町の素人下宿から、小石川豐川町へ引越して、その時越後から出て來たばかりの三人の書生と初めて所帶を持つたのは、たしか大正のはじめであつた。その時書生たちが机を並べた八疊の間の床の間の壁に、私がその人たちのために作つた四か條の學規といふものを自筆で書いて貼らせた。けれども受驗勉強で夢中になつてゐる書生たちは、誰一人としてそんな文句に目をくれるものもなく、どれほど窮屈な氣持で、これをうとましく思つたものもなかつた。けつきよくこの學規は、私自身のために私が作つて、書いて、そして自分を警しめるだけのものになつてしまつた。それから四十年にも近く、今の老境にはいつても、いつも親しくなつかしい氣持でこの四か條が思ひ出される。私はもとから理想とか、主義とか、抱負とかいふやうなものがあるのか、ないのか、自分にもはつきりしないが、とにかくそんなことを大ツぴらに口を出していひ立てるのを好かない。そのせいか、私の學規も昔からあるものとはだいぶ樣子がちがふやうだ。これくらゐのところを目安にしてかかるなら、長い一生の末までには、いくらか實行が出來るのではあるまいか。秋艸堂學規一ふかくこの生を愛すべし一かへりみて己を知るべし一學藝を以て性を養ふべし一日々新面目あるべし以上
會津八一,私は新潟の生れで小學校は西堀小學校（今はないが、廣小路の消防の詰署のある附近）へ通つたものだ。そこを出て大畑の高等小學校へ進んだが、成績はけつして優等どころでなく、やうやく眞中へとどくかとどかないかといふ程度だつた。卒業する時、學校へ自分の目的を紙に書いて出すこととなつた。その時私の同級生は總理大臣になりたいとか、陸軍大臣けん海軍大臣になるとか、さういふことをはなばなしく書いて出した人が多かつた。私は今でもわすれないが、小學校を出たなら百姓になる、ただの百姓で一生くらしたいといふことを書いて出した記憶がある。當時そんなことを書いたのは私だけだつたと思ふ。當時の私は年齡的にも希望に輝いてをらず成績もあまりよくなかつたために、そんなことを書いたのだらうと思ふ。けつして今いふところの平民思想とかを當時もつてゐたのではない。ただ私が、ふるはない、平凡な、そして學問もあまりはなばなしくないただの子供だつたことを示すものだ。しかしそれから中學へやつてもらひ、進んで大學も出ることができ、今日まで學問をつづけることができた。最初體がよわかつたので、希望も消極的だつたと思ふが、今日七十二歳の高齡に達しても、わりあひ丈夫でゐる。人間の一生といふものはけつして二年や三年で勝負のつく、いはば短距離競走ではなく、六十年、七十年、時として百年にもわたる長距離競走だから、なんといつても體が一番大切だ。しかしその體も、もちやうによつてはもつものだ。私の知人で八十何歳になる人で、子供の時體が弱かつたといふ人が二人も三人もゐる。自分の體のくせと、弱みを守つてゆく、その手かげんさへわかれば、あんぐわい長く、最初體の強いのをほこつてゐた人よりも、かへつて長生きをすることができるといふことがわかる。
秋月種樹,佐藤一齋ノ言志録凡一千三十四條。行ハル二于世ニ一。西郷南洲手二抄シ其ノ一百餘條ヲ一。藏ス二于家ニ一。余嘗テ遊ビテ二鹿兒島ニ一而觀ルレ之ヲ。沙汰精確。旨義簡明。亦可シ三以テ窺フ二南洲之學識ヲ一矣。嗚呼南洲夙ニ抱キ二勤王之志ヲ一。致シ二匪躬之節ヲ一。間關崎嶇。死シテ而復タ蘇ル。謀ツテレ國ヲ而不レ謀ラレ身ヲ。身益困ジテ而人益信ズ。言志録ニ所レ謂ハ。我執ツテ二公情ヲ一以テ行フ二公事ヲ一。天下無シレ不ルレ服セ。南洲實二行セリ之ヲ一矣。徳川氏之末造。怠惰成シレ風ヲ。志氣衰弱ス。天厭ヒ二幕府ヲ一。將ニレ興サント二維新之大業ヲ一。南洲能ク率ヰ二大軍ヲ一夷ゲ二叛亂ヲ一。叱一聲。萬軍披靡ス。非ズハレ得ルニ二士心ヲ一豈能ク如ナランレ是ノ乎。言志録ニ所レ謂ハ。因テ二民義ニ一以激シレ之ヲ。因テ二民欲ニ一以趨カスレ之ヲ。則民忘レテ二其ノ生ヲ一而致ス二其ノ死ヲ一。是レ可シ二以テ一戰ス一也。南洲實二行セリ之ヲ一矣。夫レ南洲之得二人心ヲ一。立ツル二功業ヲ一如シレ彼ノ。而晩節末路如シレ此ノ。可キレ惜シム也。此ノ編所レ載スル。毫モ無シ二與レ道相背クモノ一。後進之徒能ク讀マバレ之ヲ。可キ二以テ進ム一レ徳ニ也。可キ二以テ臨ンデレ死而不ル一レ畏レ也。余嘗テ聞ク。南洲之學術基クト二於餘姚ニ一。及テレ得ルニ二此ノ書ヲ一。始テ信ゼリ焉。近者余在リ二日南ニ一。閑散無シレ事。時ニ出シテ二此書ヲ一評スレ之ヲ。夫レ今古史乘不レ能ハレ無キレ謬リ。如キ二頼氏外史ノ一。問ヘバ二諸ヲ史官ニ一。則チ曰ヘリレ有リトレ謬リ矣。夫レ名家據リ二史傳ニ一。引用撰著ス。猶ホ且ツ然リ。況ヤ此ノ評ヲヤ。事實往々取ル二諸ヲ傳聞ニ一。未ダレ保セ二其ノ無キヲ一レ謬リ也。今將ニレ刻セントレ之ヲ。香竹先生爲ニ寫シレ字ヲ。毎ニ二一版成ル一。訂正シテ及ブ二筆意ニ一。余悦テ曰ク。吾ガ評不レ足ラレ讀ムニ。而其ノ書可シトレ法トス矣。明治丁亥六月秋月種樹撰
芥川紗織,〔設問〕一明治以前の日本の伝統美術で最も興味をもっているものは何か二その理由芥川紗織一、土偶二、埴輪にはみられないプリミチーブな生命力――はげしく、生々しく、グロテスクなものを感じるからです。当時の人間の生活とどの様につながっているかを、現代的な立場から識りたいと思います。
芥川紗織,民話を描くこの一年の間に随分沢山の日本の民話を読みあさりました。古くから語りつがれて来たおはなしの或るものはびっくりする程スケールが大きく、又或るものはカラリとした空想や笑いに満ちていて、その魅力にとても惹きつけられてしまいました。秋に銀座で民話の中のいろんなカミサマや、お姫様や、雲をつきあげるような巨人たちを描いて個展を開きました。古い神々の笑いを再び現代に湧き上がらせることが出来たら、と思いながら、そんな仕事をずっと続けています。（「芸術新潮」７巻１号、1956年１月）
芥川紗織,こと容姿に關しては私は恐ろしく小心なのでとても壯麗な美容院に一人で入つて行く勇氣がありません。私の家のすぐ近くの小じんまりしたパーマネント屋さんは、何時行つても他のお客樣に行き合うことがなく決して待たされたことがありませんので、恥かしがりの私も氣輕に時々出掛けます。美顏術や爪をみがいてもらつたことは生れてこの方一度もありませんので希望も註文もありません。（也寸志氏夫人、畫家）
芥川紗織,雑誌の表紙は始めてです。何時もと同じ染色の方法で何時もと同じ人間の描き方をしました。乳房のある、片一方だけ黄色い翅をひろげた女が、青い空気の中で、眼をピカピカ光らせて立つています。何時の間にかクモの巣に引つかかつているのにも無頓著です。とにかく三つの色しか使えないので、絵具にはない、染料独特の強烈な色を対比させ、緊張感を出そうとしましたが、染料のしみ込んだ布の感じとともに、それが何処まで面白く印刷されるか、後は本が出来上るまで、手をこまねいて、運を天にまかせる外はありません。
芥川紗織,前にタマヨの絵を美術雑誌の原色版で見てそのまか不思議な色彩にひどく惹かれました。それ以来私は何が何でもタマヨのファンになってしまいました。タマヨのよく使う発酵した様な異様な黄色や紫や桃色にひきつけられたのです。今度のメキシコ展で民芸品の部屋に足をふみ入れると私は“これだ。タマヨの色は”と思いました。民芸品の切り紙も人形も皆タマヨのあの魅力的な紫色や桃色なのでした。これはメキシコの現代絵画のすべてに云えることなのですが、何千年も昔の土偶の形態も民芸品のネンドの人形の色も皆現代絵画の中にそのまま生きていて彼等の激しい力と情熱を語る強力な言葉になって居るのです。全くメキシコの絵画は彼等の言葉で彼等の問題を精一杯に叫んで居ます。それ故にメキシコの絵画はメキシコの国の誇りとなりメキシコ人すべての誇りとなっているのだと思いました。私はメキシコの作家達が大きなビルの外側の巨大な壁面に思い切り腕をふるって壁画を描いていることを心からうらやましく思います。国と国民の生活と作家がこんなに密接につながっている国を素晴しいと思いました。日本の現代絵画は日本の国や日本の多くの人々とは何の関係もないところで描かれているということが、私には間違ったことに思えるのです。（「美術批評」1955年10月）
芥川龍之介,子供の時の愛読書は「西遊記」が第一である。これ等は今日でも僕の愛読書である。比喩談としてこれほどの傑作は、西洋には一つもないであらうと思ふ。名高いバンヤンの「天路歴程」なども到底この「西遊記」の敵ではない。それから「水滸伝」も愛読書の一つである。これも今以て愛読してゐる。一時は「水滸伝」の中の一百八人の豪傑の名前を悉く諳記してゐたことがある。その時分でも押川春浪氏の冒険小説や何かよりもこの「水滸伝」だの「西遊記」だのといふ方が遥かに僕に面白かつた。中学へ入学前から徳富蘆花氏の「自然と人生」や樗牛の「平家雑感」や小島烏水氏の「日本山水論」を愛読した。同時に、夏目さんの「猫」や鏡花氏の「風流線」や緑雨の「あられ酒」を愛読した。だから人の事は笑へない。僕にも「文章倶楽部」の「青年文士録」の中にあるやうな「トルストイ、坪内士行、大町桂月」時代があつた。中学を卒業してから色んな本を読んだけれども、特に愛読した本といふものはないが、概して云ふと、ワイルドとかゴーチエとかいふやうな絢爛とした小説が好きであつた。それは僕の気質からも来てゐるであらうけれども、一つは慥かに日本の自然主義的な小説に厭きた反動であらうと思ふ。ところが、高等学校を卒業する前後から、どういふものか趣味や物の見方に大きな曲折が起つて、前に言つたワイルドとかゴーチエとかといふ作家のものがひどくいやになつた。ストリンドベルクなどに傾倒したのはこの頃である。その時分の僕の心持からいふと、ミケエロ・アンヂエロ風な力を持つてゐない芸術はすべて瓦礫のやうに感じられた。これは当時読んだ「ジヤンクリストフ」などの影響であつたらうと思ふ。さういふ心持が大学を卒業する後までも続いたが、段々燃えるやうな力の崇拝もうすらいで、一年前から静かな力のある書物に最も心を惹かれるやうになつてゐる。但、静かなと言つてもたゞ静かだけでも力のないものには余り興味がない。スタンダールやメリメエや日本物で西鶴などの小説はこの点で今の僕には面白くもあり、又ためにもなる本である。序ながら附け加へておくが、此間「ジヤンクリストフ」を出して読んで見たが、昔ほど感興が乗らなかつた。あの時分の本はだめなのかと思つたが、「アンナカレニナ」を出して二三章読んで見たら、これは昔のやうに有難い気がした。
芥川龍之介,イズムを持つ必要があるかどうか。かう云ふ問題が出たのですが、実を云ふと、私は生憎この問題に大分関係のありさうな岩野泡鳴氏の論文なるものを読んでゐません。だからそれに対する私の答も、幾分新潮記者なり読者なりの考と、焦点が合はないだらうと思ひます。実を云ふとこの問題の性質が、私にはよくのみこめません。イズムと云ふ意味や必要と云ふ意味が、考へ次第でどうにでも曲げられさうです。又それを常識で一通りの解釈をしても、イズムを持つと云ふ事がどう云ふ事か、それもいろいろにこじつけられるでせう。それを差当り、我我が皆ロマンテイケルとかナトウラリストとかになる必要があるかと云ふ、通俗な意味に解釈すれば、勿論そんな必要はありません。と云ふよりも寧それは出来ない相談だと思ひます。元来さう云ふイズムなるものは、便宜上後になつて批評家に案出されたものなんだから、自分の思想なり感情なりの傾向の全部が、それで蔽れる訳はないでせう。全部が蔽れなければそれを肩書にする必要はありますまい。（尤もそれが全部でなくとも或著しい部分を表してゐる時、批評家にさう云ふイズムの貼札をつけられたのを許容する場合はありませう。又許容しない事がよろしくない場合もありませう。これは何時か生田長江氏が、論じた事があつたと思ひますが。）又そのイズムと云ふ意味をひつくり返して、自分の内部活動の全傾向を或イズムと名づけるなら、この問題は答を求める前に、消滅してしまひます。それからその場合のイズムに或名前をくつつけて、それを看板にする事も、勿論必要とは云はれますまい。又もう一つイズムと云ふ語を或思想上の主張と翻訳すれば、この場合もやはり前と同じ事が云はれませう。唯、必要と云ふ語に、幾分でも自他共便宜と云ふ意味を加へれば、まるで違つた事が云はれるかも知れません。それなら私は口を噤んだ方がいいでせう。一つにはイズムの提唱に無経験な私は、さう云ふ便宜を明にしてゐませんから。（大正七年五月）
